epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,219.64,0.588,0.2539,0.00704,0.99694,1,0.995,0.879,0.60352,0.16497,0.00765,0.00035382,0.00035382,0.00035382
116,221.497,0.58336,0.24218,0.00728,0.99686,1,0.995,0.88123,0.60641,0.16548,0.00742,0.000344389,0.000344389,0.000344389
117,223.25,0.537,0.22768,0.00647,1,0.99618,0.995,0.86407,0.60309,0.1933,0.00723,0.000334958,0.000334958,0.000334958
118,224.976,0.58482,0.24897,0.00619,0.99601,1,0.995,0.90346,0.51817,0.15417,0.00632,0.000325526,0.000325526,0.000325526
119,226.713,0.57506,0.26071,0.00627,0.99674,1,0.995,0.89388,0.51103,0.1515,0.00633,0.000316095,0.000316095,0.000316095
120,228.48,0.54874,0.23891,0.00608,0.99439,1,0.995,0.88766,0.54675,0.17999,0.00694,0.000306663,0.000306663,0.000306663
121,230.285,0.52201,0.23435,0.00605,0.99745,1,0.995,0.88469,0.53482,0.18168,0.0065,0.000297232,0.000297232,0.000297232
122,232.035,0.52669,0.22036,0.00638,1,0.99022,0.995,0.89582,0.523,0.20595,0.00636,0.000287801,0.000287801,0.000287801
123,233.789,0.54901,0.2339,0.00613,1,0.99027,0.995,0.88094,0.57336,0.20914,0.00709,0.000278369,0.000278369,0.000278369
124,235.587,0.53732,0.25918,0.00663,0.99642,0.94737,0.9925,0.83809,0.68412,0.23343,0.00857,0.000268938,0.000268938,0.000268938
125,237.318,0.60317,0.24542,0.00711,1,0.99623,0.995,0.86342,0.58946,0.20074,0.00725,0.000259506,0.000259506,0.000259506
126,239.123,0.55015,0.25045,0.00586,1,0.99683,0.995,0.88512,0.50123,0.17322,0.00607,0.000250075,0.000250075,0.000250075
127,240.873,0.57582,0.25075,0.0064,1,0.996,0.995,0.88028,0.512,0.18085,0.00611,0.000240644,0.000240644,0.000240644
128,242.649,0.54568,0.2331,0.00641,0.99351,1,0.995,0.86201,0.60669,0.19169,0.00742,0.000231212,0.000231212,0.000231212
129,244.393,0.60371,0.26035,0.00652,1,0.9963,0.995,0.8643,0.61643,0.19053,0.00754,0.000221781,0.000221781,0.000221781
130,246.143,0.55712,0.2569,0.00575,1,0.99422,0.995,0.88591,0.54544,0.17537,0.00655,0.000212349,0.000212349,0.000212349
131,247.953,0.5562,0.2559,0.00637,1,0.99286,0.995,0.90494,0.51279,0.16743,0.00621,0.000202918,0.000202918,0.000202918
132,249.742,0.60288,0.29194,0.00687,1,0.99545,0.995,0.90153,0.53215,0.16857,0.00646,0.000193487,0.000193487,0.000193487
133,251.492,0.49548,0.246,0.00598,1,0.99982,0.995,0.88653,0.586,0.17193,0.00722,0.000184055,0.000184055,0.000184055
134,253.222,0.56166,0.27372,0.00611,1,0.99969,0.995,0.88876,0.5828,0.171,0.00708,0.000174624,0.000174624,0.000174624
135,254.963,0.51107,0.24374,0.00592,0.99873,1,0.995,0.89374,0.54791,0.16133,0.0066,0.000165192,0.000165192,0.000165192
136,256.753,0.54209,0.24315,0.00657,0.99654,1,0.995,0.91778,0.49947,0.14539,0.00606,0.000155761,0.000155761,0.000155761
